Date (Year Month),Page path and screen class,Session source,Views,Total users,New users,Sessions,Engaged sessions
Jan 2026,/products/dtfprinterusa-a3-dtf-printer-model-300b-dual-epson-printheads-cmyk-w,chatgpt.com,3,3,3,3,1
Jan 2026,/cart,chatgpt.com,3,3,0,3,3
Oct 2025,/products/dtf-dpu24-5-head-printer-24,chatgpt.com,3,2,1,2,1
Sep 2025,/cart,chatgpt.com,3,2,0,2,2
Mar 2026,/collections/uv-printers,chatgpt.com,3,3,0,4,3
Sep 2025,/pages/contact-us,chatgpt.com,3,2,0,2,2
Feb 2026,/products/24-inch-uv-printer-3-epson-i3200-printheads,chatgpt.com,3,3,1,3,2
Feb 2026,/collections/heat-presses,chatgpt.com,3,3,3,3,1
Jul 2025,/products/replacement-white-ink-circulation-shunt,chatgpt.com,3,3,2,3,1
Dec 2025,/products/uv-dpu24-4-printer-24-copy,chatgpt.com,3,2,0,2,2
Feb 2026,/collections/uv-dtf-printer,chatgpt.com,3,3,1,3,2
Aug 2025,/collections/replacement-and-spare-parts,chatgpt.com,3,3,3,3,1
Apr 2026,/products/12-inch-uv-embossing-printer-epson-dx7-printhead-embroidery-effect,chatgpt.com,3,3,3,3,1
Jan 2026,/collections/dtf-inks-t-shirts-hats,chatgpt.com,3,2,0,2,2
Jan 2026,/collections/dtf-printing-supplies-sale,chatgpt.com,3,2,0,2,2
Jan 2026,/products/hdh2022-hydraulic-head-moving-heat-press-16x24-inch,chatgpt.com,3,3,3,3,1
Jan 2026,/products/dtf-60cm-high-speed-powder-shaker-110v-model-0619b-professional-oven-with-optional-smoke-purifier,chatgpt.com,3,4,0,4,3
Apr 2026,/collections/dtf-printers-and-dryers,chatgpt.com,3,3,1,3,1
Sep 2025,/collections/dtf-printers-and-dryers,chatgpt.com,3,4,0,4,3
Jan 2026,/products/dtfprinterusa-uv-flatbed-inkjet-printer-epson-i3200-head-multicolor-printing,chatgpt.com,3,3,2,3,1
Apr 2026,/pages/about-dtf-printer-usa,chatgpt.com,3,3,2,3,1
Jul 2025,/blogs/news/best-heat-press-machines-for-all-your-needs-in-2025,chatgpt.com,3,3,3,3,0
Apr 2025,/collections/dtf-printers-and-dryers,chatgpt.com,3,2,0,2,2
Dec 2025,/products/uv-cylinder-360-degree,chatgpt.com,3,3,2,3,0
